id,year,name,park,wins,losses
1,1871,"Boston Red Stockings","South End Grounds I",20,10
2,1871,"Chicago White Stockings","Union Base-Ball Grounds",19,9
3,1871,"Cleveland Forest Citys","National Association Grounds",10,19
4,1871,"Fort Wayne Kekiongas","Hamilton Field",7,12
5,1871,"New York Mutuals","Union Grounds (Brooklyn)",16,17
6,1871,"Philadelphia Athletics","Jefferson Street Grounds",21,7
7,1871,"Rockford Forest Citys","Agricultural Society Fair Grounds",4,21
8,1871,"Troy Haymakers","Haymakers' Grounds",13,15
9,1871,"Washington Olympics","Olympics Grounds",15,15
10,1872,"Baltimore Canaries","Newington Park",35,19
11,1872,"Brooklyn Eckfords","Union Grounds",3,26
12,1872,"Brooklyn Atlantics","Capitoline Grounds",9,28
13,1872,"Boston Red Stockings","South End Grounds I",39,8
14,1872,"Cleveland Forest Citys","National Association Grounds",6,16
15,1872,"Middletown Mansfields","Mansfield Club Grounds",5,19
16,1872,"New York Mutuals","Union Grounds (Brooklyn)",34,20
17,1872,"Philadelphia Athletics","Jefferson Street Grounds",30,14
18,1872,"Troy Haymakers","Haymakers' Grounds",15,10
19,1872,"Washington Olympics","Olympics Grounds",2,7
20,1872,"Washington Nationals","Nationals Grounds",0,11
21,1873,"Baltimore Canaries","Newington Park",34,22
22,1873,"Baltimore Marylands","Newington Park",0,6
23,1873,"Brooklyn Atlantics","Union Grounds",17,37
24,1873,"Boston Red Stockings","South End Grounds I",43,16
25,1873,"Elizabeth Resolutes","Waverly Fairgrounds",2,21
26,1873,"New York Mutuals","Union Grounds (Brooklyn)",29,24
27,1873,"Philadelphia Athletics","Jefferson Street Grounds",28,23
28,1873,"Philadelphia Whites","Jefferson Street Grounds",36,17
29,1873,"Washington Blue Legs","Olympics Grounds",8,31
30,1874,"Baltimore Canaries","Newington Park",9,38
31,1874,"Brooklyn Atlantics","Union Grounds",22,33
32,1874,"Boston Red Stockings","South End Grounds I",52,18
33,1874,"Chicago White Stockings","23rd Street Grounds",28,31
34,1874,"Hartford Dark Blues","Hartford Ball Club Grounds",16,37
35,1874,"New York Mutuals","Union Grounds (Brooklyn)",42,23
36,1874,"Philadelphia Athletics","Jefferson Street Grounds",33,22
37,1874,"Philadelphia Whites","Jefferson Street Grounds",29,29
38,1875,"Brooklyn Atlantics","Union Grounds",2,42
39,1875,"Boston Red Stockings","South End Grounds I",71,8
40,1875,"Chicago White Stockings","23rd Street Grounds",30,37
41,1875,"Hartford Dark Blues","Hartford Ball Club Grounds",54,28
42,1875,"Keokuk Westerns","Perry Park",1,12
43,1875,"New Haven Elm Citys","Hamilton Park",7,40
44,1875,"New York Mutuals","Union Grounds (Brooklyn)",30,38
45,1875,"Philadelphia Athletics","Jefferson Street Grounds",53,20
46,1875,"Philadelphia Whites","Jefferson Street Grounds",37,31
47,1875,"Philadelphia Centennials","Centennial Grounds",2,12
48,1875,"St. Louis Red Stockings","Red Stocking Baseball Park",4,15
49,1875,"St. Louis Brown Stockings","Grand Avenue Park",39,29
50,1875,"Washington Nationals","Olympics Grounds",5,23
51,1876,"Boston Red Caps","South End Grounds I",39,31
52,1876,"Chicago White Stockings","23rd Street Grounds",52,14
53,1876,"Cincinnati Reds","Avenue Grounds",9,56
54,1876,"Hartford Dark Blues","Hartford Ball Club Grounds",47,21
55,1876,"Louisville Grays","Louisville Baseball Park",30,36
56,1876,"New York Mutuals","Union Grounds (Brooklyn)",21,35
57,1876,"Philadelphia Athletics","Jefferson Street Grounds",14,45
58,1876,"St. Louis Brown Stockings","Sportsman's Park I",45,19
59,1877,"Boston Red Caps","South End Grounds I",42,18
60,1877,"Chicago White Stockings","23rd Street Grounds",26,33
61,1877,"Cincinnati Reds","Avenue Grounds",15,42
62,1877,"Hartford Dark Blues","Union Grounds (Brooklyn)",31,27
63,1877,"Louisville Grays","Louisville Baseball Park",35,25
64,1877,"St. Louis Brown Stockings","Sportsman's Park I",28,32
65,1878,"Boston Red Caps","South End Grounds I",41,19
66,1878,"Chicago White Stockings","Lake Front Park I",30,30
67,1878,"Cincinnati Reds","Avenue Grounds",37,23
68,1878,"Indianapolis Blues","South Street Park",24,36
69,1878,"Milwaukee Grays","Eclipse Park II",15,45
70,1878,"Providence Grays","Messer Street Grounds",33,27
71,1879,"Buffalo Bisons","Riverside Park",46,32
72,1879,"Boston Red Caps","South End Grounds I",54,30
73,1879,"Chicago White Stockings","Lake Front Park I",46,33
74,1879,"Cleveland Blues","Kennard Street Park",27,55
75,1879,"Cincinnati Reds","Avenue Grounds",43,37
76,1879,"Providence Grays","Messer Street Grounds",59,25
77,1879,"Syracuse Stars","Newell Park",22,48
78,1879,"Troy Trojans","Putnam Grounds",19,56
79,1880,"Buffalo Bisons","Riverside Park",24,58
80,1880,"Boston Red Caps","South End Grounds I",40,44
81,1880,"Chicago White Stockings","Lake Front Park I",67,17
82,1880,"Cleveland Blues","Kennard Street Park",47,37
83,1880,"Cincinnati Reds","Bank Street Grounds",21,59
84,1880,"Providence Grays","Messer Street Grounds",52,32
85,1880,"Troy Trojans","Haymakers' Grounds",41,42
86,1880,"Worcester Ruby Legs","Worcester Driving Park Grounds",40,43
87,1881,"Buffalo Bisons","Riverside Park",45,38
88,1881,"Boston Red Caps","South End Grounds I",38,45
89,1881,"Chicago White Stockings","Lake Front Park I",56,28
90,1881,"Cleveland Blues","Kennard Street Park",36,48
91,1881,"Detroit Wolverines","Recreation Park",41,43
92,1881,"Providence Grays","Messer Street Grounds",47,37
93,1881,"Troy Trojans","Haymakers' Grounds",39,45
94,1881,"Worcester Ruby Legs","Worcester Driving Park Grounds",32,50
95,1882,"Buffalo Bisons","Riverside Park",45,39
96,1882,"Baltimore Orioles","Newington Park",19,54
97,1882,"Boston Red Caps","South End Grounds I",45,39
98,1882,"Chicago White Stockings","Lake Front Park I/Lake Front Park II",55,29
99,1882,"Cleveland Blues","Kennard Street Park",42,40
100,1882,"Cincinnati Red Stockings","Bank Street Grounds",55,25
101,1882,"Detroit Wolverines","Recreation Park",42,41
102,1882,"Louisville Eclipse","Eclipse Park I",42,38
103,1882,"Philadelphia Athletics","Oakdale Park",41,34
104,1882,"Providence Grays","Messer Street Grounds",52,32
105,1882,"Pittsburg Alleghenys","Exposition Park I",39,39
106,1882,"St. Louis Brown Stockings","Sportsman's Park I",37,43
107,1882,"Troy Trojans","Troy Ball Club Grounds",35,48
108,1882,"Worcester Ruby Legs","Worcester Driving Park Grounds",18,66
109,1883,"Buffalo Bisons","Riverside Park",52,45
110,1883,"Baltimore Orioles","Oriole Park",28,68
111,1883,"Boston Beaneaters","South End Grounds I",63,35
112,1883,"Chicago White Stockings","Lake Front Park II",59,39
113,1883,"Cleveland Blues","Kennard Street Park",55,42
114,1883,"Columbus Buckeyes","Recreation Park I",32,65
115,1883,"Cincinnati Red Stockings","Bank Street Grounds",61,37
116,1883,"Detroit Wolverines","Recreation Park",40,58
117,1883,"Louisville Eclipse","Eclipse Park I",52,45
118,1883,"New York Gothams","Polo Grounds I",46,50
119,1883,"New York Metropolitans","Polo Grounds I West Diamond",54,42
120,1883,"Philadelphia Athletics","Jefferson Street Grounds",66,32
121,1883,"Philadelphia Quakers","Recreation Park",17,81
122,1883,"Providence Grays","Messer Street Grounds",58,40
123,1883,"Pittsburg Alleghenys","Exposition Park I",31,67
124,1883,"St. Louis Browns","Sportsman's Park I",65,33
125,1884,"Altoona Mountain City","",6,19
126,1884,"Buffalo Bisons","Olympic Park I",64,47
127,1884,"Baltimore Orioles","Oriole Park",63,43
128,1884,"Baltimore Monumentals","",58,47
129,1884,"Brooklyn Atlantics","Washington Park I",40,64
130,1884,"Boston Beaneaters","South End Grounds I",73,38
131,1884,"Boston Reds","",58,51
132,1884,"Chicago White Stockings","Lake Front Park II",62,50
133,1884,"Chicago/Pittsburgh (Union League)","",41,50
134,1884,"Cleveland Blues","Kennard Street Park",35,77
135,1884,"Columbus Buckeyes","Recreation Park I",69,39
136,1884,"Cincinnati Red Stockings","League Park I in Cincinnati",68,41
137,1884,"Cincinnati Outlaw Reds","",69,36
138,1884,"Detroit Wolverines","Recreation Park",28,84
139,1884,"Indianapolis Hoosiers","Seventh Street Park",29,78
140,1884,"Kansas City Cowboys","",16,63
141,1884,"Louisville Eclipse","Eclipse Park I",68,40
142,1884,"Milwaukee Brewers","",8,4
143,1884,"New York Gothams","Polo Grounds I",62,50
144,1884,"New York Metropolitans","Polo Grounds I West Diamond",75,32
145,1884,"Philadelphia Athletics","Jefferson Street Grounds",61,46
146,1884,"Philadelphia Quakers","Recreation Park",39,73
147,1884,"Philadelphia Keystones","",21,46
148,1884,"Providence Grays","Messer Street Grounds",84,28
149,1884,"Pittsburg Alleghenys","Recreation Park",30,78
150,1884,"Richmond Virginians","Allen Pasture",12,30
151,1884,"St. Louis Browns","Sportsman's Park I",67,40
152,1884,"St. Louis Maroons","",94,19
153,1884,"St. Paul White Caps","",2,6
154,1884,"Toledo Blue Stockings","League Park",46,58
155,1884,"Wilmington Quicksteps","",2,16
156,1884,"Washington Nationals","Athletic Park",12,51
157,1884,"Washington Nationals","",47,65
158,1885,"Buffalo Bisons","Olympic Park I",38,74
159,1885,"Baltimore Orioles","Oriole Park",41,68
160,1885,"Brooklyn Grays","Washington Park I",53,59
161,1885,"Boston Beaneaters","South End Grounds I",46,66
162,1885,"Chicago White Stockings","West Side Park I",87,25
163,1885,"Cincinnati Red Stockings","League Park I in Cincinnati",63,49
164,1885,"Detroit Wolverines","Recreation Park",41,67
165,1885,"Louisville Colonels","Eclipse Park I",53,59
166,1885,"New York Giants","Polo Grounds I",85,27
167,1885,"New York Metropolitans","Polo Grounds I West Diamond",44,64
168,1885,"Philadelphia Athletics","Jefferson Street Grounds",55,57
169,1885,"Philadelphia Quakers","Recreation Park",56,54
170,1885,"Providence Grays","Messer Street Grounds",53,57
171,1885,"Pittsburg Alleghenys","Recreation Park",56,55
172,1885,"St. Louis Browns","Sportsman's Park I",79,33
173,1885,"St. Louis Maroons","Sportsman's Park I",36,72
174,1886,"Baltimore Orioles","Oriole Park",48,83
175,1886,"Brooklyn Grays","Washington Park I",76,61
176,1886,"Boston Beaneaters","South End Grounds I",56,61
177,1886,"Chicago White Stockings","West Side Park I",90,34
178,1886,"Cincinnati Red Stockings","League Park I in Cincinnati",65,73
179,1886,"Detroit Wolverines","Recreation Park",87,36
180,1886,"Kansas City Cowboys","Association Park",30,91
181,1886,"Louisville Colonels","Eclipse Park I",66,70
182,1886,"New York Giants","Polo Grounds I",75,44
183,1886,"New York Metropolitans","St. George Cricket Grounds",53,82
184,1886,"Philadelphia Athletics","Jefferson Street Grounds",63,72
185,1886,"Philadelphia Quakers","Recreation Park",71,43
186,1886,"Pittsburg Alleghenys","Recreation Park",80,57
187,1886,"St. Louis Browns","Sportsman's Park I",93,46
188,1886,"St. Louis Maroons","Sportsman's Park I",43,79
189,1886,"Washington Nationals","Swampdoodle Grounds",28,92
190,1887,"Baltimore Orioles","Oriole Park",77,58
191,1887,"Brooklyn Grays","Washington Park I",60,74
192,1887,"Boston Beaneaters","South End Grounds I",61,60
193,1887,"Chicago White Stockings","West Side Park I",71,50
194,1887,"Cleveland Blues","National League Park II",39,92
195,1887,"Cincinnati Red Stockings","League Park I in Cincinnati",81,54
196,1887,"Detroit Wolverines","Recreation Park",79,45
197,1887,"Indianapolis Hoosiers","Athletic Park I",37,89
198,1887,"Louisville Colonels","Eclipse Park I",76,60
199,1887,"New York Giants","Polo Grounds I",68,55
200,1887,"New York Metropolitans","St. George Cricket Grounds",44,89
201,1887,"Philadelphia Athletics","Jefferson Street Grounds",64,69
202,1887,"Philadelphia Quakers","Philadelphia Baseball Grounds",75,48
203,1887,"Pittsburg Alleghenys","Recreation Park",55,69
204,1887,"St. Louis Browns","Sportsman's Park I",95,40
205,1887,"Washington Nationals","Swampdoodle Grounds",46,76
206,1888,"Baltimore Orioles","Oriole Park",57,80
207,1888,"Brooklyn Bridegrooms","Washington Park I",88,52
208,1888,"Boston Beaneaters","South End Grounds II",70,64
209,1888,"Chicago White Stockings","West Side Park I",77,58
210,1888,"Cleveland Blues","National League Park II",50,82
211,1888,"Cincinnati Red Stockings","League Park I in Cincinnati",80,54
212,1888,"Detroit Wolverines","Recreation Park",68,63
213,1888,"Indianapolis Hoosiers","Athletic Park II",50,85
214,1888,"Kansas City Cowboys","Association Park I",43,89
215,1888,"Louisville Colonels","Eclipse Park I",48,87
216,1888,"New York Giants","Polo Grounds I",84,47
217,1888,"Philadelphia Athletics","Jefferson Street Grounds",81,52
218,1888,"Philadelphia Quakers","Philadelphia Baseball Grounds",69,61
219,1888,"Pittsburg Alleghenys","Recreation Park",66,68
220,1888,"St. Louis Browns","Sportsman's Park I",92,43
221,1888,"Washington Nationals","Swampdoodle Grounds",48,86
222,1889,"Baltimore Orioles","Oriole Park",70,65
223,1889,"Brooklyn Bridegrooms","Washington Park I",93,44
224,1889,"Boston Beaneaters","South End Grounds II",83,45
225,1889,"Chicago White Stockings","West Side Park I",67,65
226,1889,"Cleveland Spiders","National League Park",61,72
227,1889,"Columbus Solons","Recreation Park II",60,78
228,1889,"Cincinnati Red Stockings","League Park I in Cincinnati",76,63
229,1889,"Indianapolis Hoosiers","Athletic Park II",59,75
230,1889,"Kansas City Cowboys","Exposition Park",55,82
231,1889,"Louisville Colonels","Eclipse Park I",27,111
232,1889,"New York Giants","Polo Grounds II",83,43
233,1889,"Philadelphia Athletics","Jefferson Street Grounds",75,58
234,1889,"Philadelphia Quakers","Philadelphia Baseball Grounds",63,64
235,1889,"Pittsburg Alleghenys","Recreation Park",61,71
236,1889,"St. Louis Browns","Sportsman's Park I",90,45
237,1889,"Washington Nationals","Swampdoodle Grounds",41,83
238,1890,"Buffalo Bisons","",36,96
239,1890,"Baltimore Orioles","Oriole Park",15,19
240,1890,"Brooklyn Gladiators","Ridgewood Park",26,72
241,1890,"Brooklyn Bridegrooms","Washington Park II",86,43
242,1890,"Brooklyn Ward's Wonders","",76,56
243,1890,"Boston Beaneaters","South End Grounds II",76,57
244,1890,"Boston Reds","",81,48
245,1890,"Chicago Colts","West Side Park I",83,53
246,1890,"Chicago Pirates","",75,62
247,1890,"Cincinnati Reds","League Park I in Cincinnati",77,55
248,1890,"Cleveland Spiders","National League Park",44,88
249,1890,"Columbus Solons","Recreation Park II",79,55
250,1890,"Cleveland Infants","",55,75
251,1890,"Louisville Colonels","Eclipse Park I",88,44
252,1890,"New York Giants","Polo Grounds II",63,68
253,1890,"New York Giants","",74,57
254,1890,"Philadelphia Athletics","Jefferson Street Grounds",54,78
255,1890,"Philadelphia Phillies","Philadelphia Baseball Grounds",78,53
256,1890,"Philadelphia Athletics","",68,63
257,1890,"Pittsburg Alleghenys","Recreation Park",23,113
258,1890,"Pittsburgh Burghers","",60,68
259,1890,"Rochester Broncos","Culver Field I",63,63
260,1890,"St. Louis Browns","Sportsman's Park I",77,58
261,1890,"Syracuse Stars","Star Park II",55,72
262,1890,"Toledo Maumees","Speranza Park",68,64
263,1891,"Baltimore Orioles","Union Park",71,64
264,1891,"Brooklyn Grooms","Eastern Park",61,76
265,1891,"Boston Reds","Congress Street Grounds",93,42
266,1891,"Boston Beaneaters","South End Grounds II",87,51
267,1891,"Chicago Colts","South Side Park I",82,53
268,1891,"Cincinnati Reds","League Park I in Cincinnati",56,81
269,1891,"Cleveland Spiders","League Park I",65,74
270,1891,"Columbus Solons","Recreation Park II",61,76
271,1891,"Cincinnati Kelly's Killers","East End Park",43,57
272,1891,"Louisville Colonels","Eclipse Park I",54,83
273,1891,"Milwaukee Brewers","Athletic Field",21,15
274,1891,"New York Giants","Polo Grounds III",71,61
275,1891,"Philadelphia Athletics","Athletic Park",73,66
276,1891,"Philadelphia Phillies","Philadelphia Baseball Grounds",68,69
277,1891,"Pittsburgh Pirates","Exposition Park",55,80
278,1891,"St. Louis Browns","Sportsman's Park I",85,51
279,1891,"Washington Statesmen","Boundary Field",44,91
280,1892,"Baltimore Orioles","Union Park",46,101
281,1892,"Brooklyn Grooms","Eastern Park",95,59
282,1892,"Boston Beaneaters","South End Grounds II",102,48
283,1892,"Chicago Colts","South Side Park I",70,76
284,1892,"Cincinnati Reds","League Park I in Cincinnati",82,68
285,1892,"Cleveland Spiders","League Park I",93,56
286,1892,"Louisville Colonels","Eclipse Park I",63,89
287,1892,"New York Giants","Polo Grounds III",71,80
288,1892,"Philadelphia Phillies","Philadelphia Baseball Grounds",87,66
289,1892,"Pittsburgh Pirates","Exposition Park",80,73
290,1892,"St. Louis Browns","Sportsman's Park I",56,94
291,1892,"Washington Senators","Boundary Field",58,93
292,1893,"Baltimore Orioles","Union Park",60,70
293,1893,"Brooklyn Grooms","Eastern Park",65,63
294,1893,"Boston Beaneaters","South End Grounds II",86,43
295,1893,"Chicago Colts","South Side Park I",56,71
296,1893,"Cincinnati Reds","League Park I in Cincinnati",65,63
297,1893,"Cleveland Spiders","League Park I",73,55
298,1893,"Louisville Colonels","Eclipse Park II",50,75
299,1893,"New York Giants","Polo Grounds III",68,64
300,1893,"Philadelphia Phillies","Philadelphia Baseball Grounds",72,57
301,1893,"Pittsburgh Pirates","Exposition Park",81,48
302,1893,"St. Louis Browns","Robison Field",57,75
303,1893,"Washington Senators","Boundary Field",40,89
304,1894,"Baltimore Orioles","Union Park",89,39
305,1894,"Brooklyn Grooms","Eastern Park",70,61
306,1894,"Boston Beaneaters","South End Grounds II / Congress Street Grounds / South End Grounds III",83,49
307,1894,"Chicago Colts","West Side Park II",57,75
308,1894,"Cincinnati Reds","League Park II in Cincinnati",55,75
309,1894,"Cleveland Spiders","League Park I",68,61
310,1894,"Louisville Colonels","Eclipse Park II",36,94
311,1894,"New York Giants","Polo Grounds III",88,44
312,1894,"Philadelphia Phillies","Philadelphia Baseball Grounds",71,57
313,1894,"Pittsburgh Pirates","Exposition Park",65,65
314,1894,"St. Louis Browns","Robison Field",56,76
315,1894,"Washington Senators","Boundary Field",45,87
316,1895,"Baltimore Orioles","Union Park",87,43
317,1895,"Brooklyn Grooms","Eastern Park",71,60
318,1895,"Boston Beaneaters","South End Grounds III",71,60
319,1895,"Chicago Colts","West Side Park II",72,58
320,1895,"Cincinnati Reds","League Park II in Cincinnati",66,64
321,1895,"Cleveland Spiders","League Park I",84,46
322,1895,"Louisville Colonels","Eclipse Park II",35,96
323,1895,"New York Giants","Polo Grounds III",66,65
324,1895,"Philadelphia Phillies","Baker Bowl",78,53
325,1895,"Pittsburgh Pirates","Exposition Park",71,61
326,1895,"St. Louis Browns","Robison Field",39,92
327,1895,"Washington Senators","Boundary Field",43,85
328,1896,"Baltimore Orioles","Union Park",90,39
329,1896,"Brooklyn Bridegrooms","Eastern Park",58,73
330,1896,"Boston Beaneaters","South End Grounds III",74,57
331,1896,"Chicago Colts","West Side Park II",71,57
332,1896,"Cincinnati Reds","League Park II in Cincinnati",77,50
333,1896,"Cleveland Spiders","League Park I",80,48
334,1896,"Louisville Colonels","Eclipse Park II",38,93
335,1896,"New York Giants","Polo Grounds III",64,67
336,1896,"Philadelphia Phillies","Baker Bowl",62,68
337,1896,"Pittsburgh Pirates","Exposition Park",66,63
338,1896,"St. Louis Browns","Robison Field",40,90
339,1896,"Washington Senators","Boundary Field",58,73
340,1897,"Baltimore Orioles","Union Park",90,40
341,1897,"Brooklyn Bridegrooms","Eastern Park",61,71
342,1897,"Boston Beaneaters","South End Grounds III",93,39
343,1897,"Chicago Colts","West Side Park II",59,73
344,1897,"Cincinnati Reds","League Park II in Cincinnati",76,56
345,1897,"Cleveland Spiders","League Park I",69,62
346,1897,"Louisville Colonels","Eclipse Park II",52,78
347,1897,"New York Giants","Polo Grounds III",83,48
348,1897,"Philadelphia Phillies","Baker Bowl",55,77
349,1897,"Pittsburgh Pirates","Exposition Park",60,71
350,1897,"St. Louis Browns","Robison Field",29,102
351,1897,"Washington Senators","Boundary Field",61,71
352,1898,"Baltimore Orioles","Union Park",96,53
353,1898,"Brooklyn Bridegrooms","Washington Park III",54,91
354,1898,"Boston Beaneaters","South End Grounds III",102,47
355,1898,"Chicago Orphans","West Side Park II",85,65
356,1898,"Cincinnati Reds","League Park II in Cincinnati",92,60
357,1898,"Cleveland Spiders","League Park I",81,68
358,1898,"Louisville Colonels","Eclipse Park II",70,81
359,1898,"New York Giants","Polo Grounds III",77,73
360,1898,"Philadelphia Phillies","Baker Bowl",78,71
361,1898,"Pittsburgh Pirates","Exposition Park",72,76
362,1898,"St. Louis Browns","Robison Field",39,111
363,1898,"Washington Senators","Boundary Field",51,101
364,1899,"Baltimore Orioles","Union Park",86,62
365,1899,"Brooklyn Superbas","Washington Park III",101,47
366,1899,"Boston Beaneaters","South End Grounds III",95,57
367,1899,"Chicago Orphans","West Side Park II",75,73
368,1899,"Cincinnati Reds","League Park II in Cincinnati",83,67
369,1899,"Cleveland Spiders","League Park I",20,134
370,1899,"Louisville Colonels","Eclipse Park II",75,77
371,1899,"New York Giants","Polo Grounds III",60,90
372,1899,"Philadelphia Phillies","Baker Bowl",94,58
373,1899,"Pittsburgh Pirates","Exposition Park",76,73
374,1899,"St. Louis Perfectos","Robison Field",84,67
375,1899,"Washington Senators","Boundary Field",54,98
376,1900,"Brooklyn Superbas","Washington Park III",82,54
377,1900,"Boston Beaneaters","South End Grounds III",66,72
378,1900,"Chicago Orphans","West Side Park II",65,75
379,1900,"Cincinnati Reds","League Park II in Cincinnati",62,77
380,1900,"New York Giants","Polo Grounds III",60,78
381,1900,"Philadelphia Phillies","Baker Bowl",75,63
382,1900,"Pittsburgh Pirates","Exposition Park",79,60
383,1900,"St. Louis Cardinals","Robison Field",65,75
384,1901,"Baltimore Orioles","Oriole Park",68,65
385,1901,"Boston Americans","Huntington Avenue Grounds",79,57
386,1901,"Brooklyn Superbas","Washington Park III",79,57
387,1901,"Boston Beaneaters","South End Grounds III",69,69
388,1901,"Chicago White Sox","South Side Park II",83,53
389,1901,"Chicago Orphans","West Side Park II",53,86
390,1901,"Cincinnati Reds","League Park II in Cincinnati",52,87
391,1901,"Cleveland Blues","League Park I",54,82
392,1901,"Detroit Tigers","Bennett Park",74,61
393,1901,"Milwaukee Brewers","Lloyd Street Grounds",48,89
394,1901,"New York Giants","Polo Grounds III",52,85
395,1901,"Philadelphia Athletics","Columbia Park",74,62
396,1901,"Philadelphia Phillies","Baker Bowl",83,57
397,1901,"Pittsburgh Pirates","Exposition Park",90,49
398,1901,"St. Louis Cardinals","Robison Field",76,64
399,1901,"Washington Senators","American League Park I",61,72
400,1902,"Baltimore Orioles","Oriole Park",50,88
401,1902,"Boston Americans","Huntington Avenue Grounds",77,60
402,1902,"Brooklyn Superbas","Washington Park III",75,63
403,1902,"Boston Beaneaters","South End Grounds III",73,64
404,1902,"Chicago White Sox","South Side Park II",74,60
405,1902,"Chicago Orphans","West Side Park II",68,69
406,1902,"Cincinnati Reds","Palace of the Fans",70,70
407,1902,"Cleveland Bronchos","League Park I",69,67
408,1902,"Detroit Tigers","Bennett Park",52,83
409,1902,"New York Giants","Polo Grounds III",48,88
410,1902,"Philadelphia Athletics","Columbia Park",83,53
411,1902,"Philadelphia Phillies","Baker Bowl",56,81
412,1902,"Pittsburgh Pirates","Exposition Park",103,36
413,1902,"St. Louis Browns","Sportsman's Park III",78,58
414,1902,"St. Louis Cardinals","Robison Field",56,78
415,1902,"Washington Senators","American League Park I",61,75
416,1903,"Boston Americans","Huntington Avenue Grounds",91,47
417,1903,"Brooklyn Superbas","Washington Park III",70,66
418,1903,"Boston Beaneaters","South End Grounds III",58,80
419,1903,"Chicago White Sox","South Side Park II",60,77
420,1903,"Chicago Cubs","West Side Park II",82,56
421,1903,"Cincinnati Reds","Palace of the Fans",74,65
422,1903,"Cleveland Naps","League Park I",77,63
423,1903,"Detroit Tigers","Bennett Park",65,71
424,1903,"New York Giants","Polo Grounds III",84,55
425,1903,"New York Highlanders","Hilltop Park",72,62
426,1903,"Philadelphia Athletics","Columbia Park",75,60
427,1903,"Philadelphia Phillies","Baker Bowl",49,86
428,1903,"Pittsburgh Pirates","Exposition Park",91,49
429,1903,"St. Louis Browns","Sportsman's Park III",65,74
430,1903,"St. Louis Cardinals","Robison Field",43,94
431,1903,"Washington Senators","American League Park I",43,94
432,1904,"Boston Americans","Huntington Avenue Grounds",95,59
433,1904,"Brooklyn Superbas","Washington Park III",56,97
434,1904,"Boston Beaneaters","South End Grounds III",55,98
435,1904,"Chicago White Sox","South Side Park II",89,65
436,1904,"Chicago Cubs","West Side Park II",93,60
437,1904,"Cincinnati Reds","Palace of the Fans",88,65
438,1904,"Cleveland Naps","League Park I",86,65
439,1904,"Detroit Tigers","Bennett Park",62,90
440,1904,"New York Giants","Polo Grounds III",106,47
441,1904,"New York Highlanders","Hilltop Park",92,59
442,1904,"Philadelphia Athletics","Columbia Park",81,70
443,1904,"Philadelphia Phillies","Baker Bowl",52,100
444,1904,"Pittsburgh Pirates","Exposition Park",87,66
445,1904,"St. Louis Browns","Sportsman's Park III",65,87
446,1904,"St. Louis Cardinals","Robison Field",75,79
447,1904,"Washington Senators","American League Park II",38,113
448,1905,"Boston Americans","Huntington Avenue Grounds",78,74
449,1905,"Brooklyn Superbas","Washington Park III",48,104
450,1905,"Boston Beaneaters","South End Grounds III",51,103
451,1905,"Chicago White Sox","South Side Park II",92,60
452,1905,"Chicago Cubs","West Side Park II",92,61
453,1905,"Cincinnati Reds","Palace of the Fans",79,74
454,1905,"Cleveland Naps","League Park I",76,78
455,1905,"Detroit Tigers","Bennett Park",79,74
456,1905,"New York Giants","Polo Grounds III",105,48
457,1905,"New York Highlanders","Hilltop Park",71,78
458,1905,"Philadelphia Athletics","Columbia Park",92,56
459,1905,"Philadelphia Phillies","Baker Bowl",83,69
460,1905,"Pittsburgh Pirates","Exposition Park",96,57
461,1905,"St. Louis Browns","Sportsman's Park III",54,99
462,1905,"St. Louis Cardinals","Robison Field",58,96
463,1905,"Washington Senators","American League Park II",64,87
464,1906,"Boston Americans","Huntington Avenue Grounds",49,105
465,1906,"Brooklyn Superbas","Washington Park III",66,86
466,1906,"Boston Beaneaters","South End Grounds III",49,102
467,1906,"Chicago White Sox","South Side Park II",93,58
468,1906,"Chicago Cubs","West Side Park II",116,36
469,1906,"Cincinnati Reds","Palace of the Fans",64,87
470,1906,"Cleveland Naps","League Park I",89,64
471,1906,"Detroit Tigers","Bennett Park",71,78
472,1906,"New York Giants","Polo Grounds III",96,56
473,1906,"New York Highlanders","Hilltop Park",90,61
474,1906,"Philadelphia Athletics","Columbia Park",78,67
475,1906,"Philadelphia Phillies","Baker Bowl",71,82
476,1906,"Pittsburgh Pirates","Exposition Park",93,60
477,1906,"St. Louis Browns","Sportsman's Park III",76,73
478,1906,"St. Louis Cardinals","Robison Field",52,98
479,1906,"Washington Senators","American League Park II",55,95
480,1907,"Boston Americans","Huntington Avenue Grounds",59,90
481,1907,"Brooklyn Superbas","Washington Park III",65,83
482,1907,"Boston Doves","South End Grounds III",58,90
483,1907,"Chicago White Sox","South Side Park II",87,64
484,1907,"Chicago Cubs","West Side Park II",107,45
485,1907,"Cincinnati Reds","Palace of the Fans",66,87
486,1907,"Cleveland Naps","League Park I",85,67
487,1907,"Detroit Tigers","Bennett Park",92,58
488,1907,"New York Giants","Polo Grounds III",82,71
489,1907,"New York Highlanders","Hilltop Park",70,78
490,1907,"Philadelphia Athletics","Columbia Park",88,57
491,1907,"Philadelphia Phillies","Baker Bowl",83,64
492,1907,"Pittsburgh Pirates","Exposition Park",91,63
493,1907,"St. Louis Browns","Sportsman's Park III",69,83
494,1907,"St. Louis Cardinals","Robison Field",52,101
495,1907,"Washington Senators","American League Park II",49,102
496,1908,"Boston Red Sox","Huntington Avenue Grounds",75,79
497,1908,"Brooklyn Superbas","Washington Park III",53,101
